1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17
18 19 20 21 22 23 24 25 7  11 26 27 7  28 15 29 30
31 32 27 15 21 24 33 34 35 36 33 37 38 19 39 40 1
31 20 1  41 30 1  42 43 44 41 45 35 20 46 25 47 48
49 5  44 36 50 51 30 52 30 21 53 54 49 28 55 49 56
57 58 59 60 6  19 61 3  62 33 63 62 64 46 3  4  65
60 28 46 50 36 62 33 66 45 52 52 36 4  67 58 12 21
22 20 50 21 39 56 38 68 69 2  70 46 8  71 52 72 73
58 37 74 71 14 75 22 76 10 13 70 21 77 78 79 46 76
80 32 38 81 59 18 80 61 82 58 16 73 49 31 79 24 53
72 29 42 83 82 65 50 84 24 85 86 33 7  10 84 48 86
24 25 87 30 71 83 15 72 34 8  40 48 34 72 30 88 81
89 85 5  3  45 4  90 91 15 82 32 42 52 71 85 82 92
75 14 24 37 86 12 61 92 49 19 82 92 17 3  93 61 11
28 88 60 19 36 70 55 39 30 38 2  34 80 87 93 53 55
51 77 40 3  13 73 36 84 82 94 95 78 72 30 96 64 5
31 23 24 26 95 42 10 69 59 61 87 34 80 83 78 87 3
56 44 21 72 34 15 97 93 35 51 44 73 9  33 73 84 92
82 61 96 38 62 3  14 28 91 68 64 33 70 36 90 11 45
65 96 50 14 14 16 83 80 70 1  67 39 82 3  2  28 41
